CodProv,CodDist,CodPost,CodLocal,CodBairro,Provincia,Distrito,Posto,Localidade,Bairro,informal_type,count,rate
01,03,01,01,99,Niassa,Lago,Metangula,Vila de Metangula,Nao Aplicavel,loweduc-selfemp,1384.5779,0.533910551549663
01,03,01,01,99,Niassa,Lago,Metangula,Vila de Metangula,Nao Aplicavel,higheduc-selfemp,234.2706,0.0903376727722366
01,03,01,01,99,Niassa,Lago,Metangula,Vila de Metangula,Nao Aplicavel,loweduc-wage,136.1899,0.0525165284123728
01,06,01,05,99,Niassa,Mandimba,Lissiete,Vila de Mandimba,Nao Aplicavel,unpaidfam,2253.8018,0.322885090734821
01,06,01,05,99,Niassa,Mandimba,Lissiete,Vila de Mandimba,Nao Aplicavel,loweduc-selfemp,2599.462,0.372405206053043
01,06,01,05,99,Niassa,Mandimba,Lissiete,Vila de Mandimba,Nao Aplicavel,employer,324.5704,0.046498739620244
01,06,01,05,99,Niassa,Mandimba,Lissiete,Vila de Mandimba,Nao Aplicavel,loweduc-wage,413.8028,0.0592823888171192
01,06,01,05,99,Niassa,Mandimba,Lissiete,Vila de Mandimba,Nao Aplicavel,higheduc-wage,1142.9519,0.16374205040436
01,06,01,05,99,Niassa,Mandimba,Lissiete,Vila de Mandimba,Nao Aplicavel,higheduc-selfemp,245.6089,0.0351865243704126
01,07,01,06,99,Niassa,Marrupa,Marrupa-Sede,Tumpue,Nao Aplicavel,loweduc-selfemp,2377.1484,0.354697867984085
01,07,01,06,99,Niassa,Marrupa,Marrupa-Sede,Tumpue,Nao Aplicavel,higheduc-selfemp,216.0179,0.032232353931458
01,07,01,06,99,Niassa,Marrupa,Marrupa-Sede,Tumpue,Nao Aplicavel,unpaidfam,2873.3912,0.428742998343827
01,07,01,06,99,Niassa,Marrupa,Marrupa-Sede,Tumpue,Nao Aplicavel,loweduc-wage,475.9858,0.0710225530937399
01,07,01,06,99,Niassa,Marrupa,Marrupa-Sede,Tumpue,Nao Aplicavel,higheduc-wage,661.787,0.0987462280266489
01,07,01,06,99,Niassa,Marrupa,Marrupa-Sede,Tumpue,Nao Aplicavel,employer,97.5662,0.0145579986202413
02,01,99,99,01,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Alto Gingone,loweduc-wage,1059.3312,0.281100306653809
02,01,99,99,01,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Alto Gingone,higheduc-wage,1409.5569,0.374034935283689
02,01,99,99,01,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Alto Gingone,loweduc-selfemp,732.9289,0.194487369526583
02,01,99,99,01,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Alto Gingone,higheduc-selfemp,148.1558,0.039314088750091
02,01,99,99,01,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Alto Gingone,employer,205.6379,0.0545673314914592
02,01,99,99,01,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Alto Gingone,unpaidfam,212.906,0.056495968294369
02,01,99,99,02,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cariaco,loweduc-wage,2105.6241,0.347136448880275
02,01,99,99,02,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cariaco,higheduc-wage,1538.565,0.253650207779955
02,01,99,99,02,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cariaco,loweduc-selfemp,1442.6358,0.237835171358247
02,01,99,99,02,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cariaco,employer,324.3699,0.0534761238768354
02,01,99,99,02,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cariaco,higheduc-selfemp,207.6674,0.0342363690576109
02,01,99,99,02,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cariaco,unpaidfam,446.8336,0.0736656790470765
02,01,99,99,03,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Chuiba,employer,88.5907,0.0923362940679794
02,01,99,99,03,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Chuiba,higheduc-wage,318.4664,0.331931084878782
02,01,99,99,03,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Chuiba,loweduc-selfemp,228.4554,0.238114440859118
02,01,99,99,03,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Chuiba,loweduc-wage,243.9992,0.254315429086255
02,01,99,99,03,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Chuiba,higheduc-selfemp,20.2535,0.0211098132411847
02,01,99,99,03,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Chuiba,unpaidfam,59.6701,0.0621929378666805
02,01,99,99,04,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cimento,higheduc-wage,725.9728,0.642901048242499
02,01,99,99,04,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cimento,loweduc-selfemp,79.8288,0.0706941350969909
02,01,99,99,04,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cimento,higheduc-selfemp,59.1028,0.0523397737133771
02,01,99,99,04,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cimento,loweduc-wage,135.7178,0.120187858119706
02,01,99,99,04,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cimento,employer,69.7453,0.0617644717267473
02,01,99,99,04,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Cimento,unpaidfam,58.8464,0.05211271310068
02,01,99,99,05,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Ingonane,higheduc-selfemp,147.0578,0.0811847251188502
02,01,99,99,05,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Ingonane,loweduc-wage,409.8285,0.226249910704299
02,01,99,99,05,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Ingonane,loweduc-selfemp,418.8313,0.231219996230535
02,01,99,99,05,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Ingonane,higheduc-wage,547.5836,0.302298987510968
02,01,99,99,05,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Ingonane,unpaidfam,110.3704,0.0609310800600685
02,01,99,99,05,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Ingonane,employer,177.7258,0.0981153003752793
02,01,99,99,06,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Muchara,loweduc-selfemp,488.7328,0.41174119114537
02,01,99,99,06,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Muchara,higheduc-wage,97.7157,0.0823222397015376
02,01,99,99,06,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Muchara,unpaidfam,229.9353,0.1937128719586
02,01,99,99,06,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Muchara,loweduc-wage,351.0301,0.295731228806166
02,01,99,99,06,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Muchara,employer,19.5764,0.0164924683883263
02,01,99,99,07,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Mahate,higheduc-wage,186.175,0.147860993273248
02,01,99,99,07,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Mahate,higheduc-selfemp,78.117,0.0620408605426417
02,01,99,99,07,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Mahate,loweduc-wage,410.5937,0.326095299120387
02,01,99,99,07,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Mahate,loweduc-selfemp,365.6785,0.290423452282377
02,01,99,99,07,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Mahate,employer,58.9663,0.0468312914604449
02,01,99,99,07,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Mahate,unpaidfam,159.5913,0.126748103320902
02,01,99,99,10,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Natite,unpaidfam,178.1298,0.0836538863879105
02,01,99,99,10,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Natite,higheduc-wage,819.3174,0.384770457807948
02,01,99,99,10,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Natite,higheduc-selfemp,117.7309,0.0552891617963219
02,01,99,99,10,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Natite,loweduc-wage,458.9728,0.215544274267086
02,01,99,99,10,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Natite,loweduc-selfemp,407.5089,0.191375632952276
02,01,99,99,10,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Natite,employer,147.7069,0.0693665867884569
02,01,99,99,11,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Paquitequete,loweduc-selfemp,749.093,0.406412248015677
02,01,99,99,11,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Paquitequete,unpaidfam,226.0722,0.122653009727563
02,01,99,99,11,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Paquitequete,employer,156.7778,0.0850580877634048
02,01,99,99,11,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Paquitequete,higheduc-selfemp,128.6834,0.0698157770481109
02,01,99,99,11,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Paquitequete,loweduc-wage,255.6279,0.138688132841352
02,01,99,99,11,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Paquitequete,higheduc-wage,326.9308,0.177372744603892
02,01,99,99,13,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Eduardo Mondlane,higheduc-wage,1155.4424,0.406936960473481
02,01,99,99,13,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Eduardo Mondlane,employer,255.6682,0.0900441598799957
02,01,99,99,13,Cabo Delgado,Cidade de Pemba,Nao Aplicavel,Nao Aplicavel,Eduardo Mondlane,higheduc-selfemp,209.1711,0.0736682777548188
